"Sexe";"Etat Civil";"Enfants";"id_salarié";"Congé maternité A-1";"Age";"Contrat";"Salaire base mensuel";"%variable_moyen";"Augmentation";"Promotion";"id_salarié (Right)";"Durée hebdo";"Distance domicile/Travail";"Service";"Work_accident";"Niveau de satisfaction";"id_salarié (Right) (Right)";"Ancienneté_an"
"F";"Marié";1;"16440819-3466";0;36;"CDI";3260.8333;30;1;0;"16440819-3466";35;28;"Commercial";"Non";42;"16440819-3466";17
"F";"Marié";3;"16430903-4405";0;54;"CDI";3256.2833;34;0;0;"16430903-4405";35;13;"Marketing";"Non";25;"16430903-4405";8.8
"H";"Marié";1;"16860412-1965";0;42;"CDI";3232.0167;35;0;0;"16860412-1965";35;8;"Consultant";"Non";36;"16860412-1965";24.4
"F";"Marié";3;"16650614-4689";0;51;"CDI";3218.3667;27;1;0;"16650614-4689";35;23;"RH";"Non";23;"16650614-4689";19.3
"F";"Célibataire";1;"16670913-0147";0;27;"CDD";3201.6833;38;;0;"16670913-0147";35;8;"Compta Finances";"Non";45;"16670913-0147";0.8
"F";"Marié";3;"16790704-0179";0;45;"CDD";3185;3;0;0;"16790704-0179";35;60;"Commercial";"Non";58;"16790704-0179";1.7
"F";"Marié";3;"16810820-7468";0;46;"CDD";3168.3167;10;0;0;"16810820-7468";35;42;"Consultant";"Non";18;"16810820-7468";1.4
"F";"Marié";2;"16890313-1335";0;59;"CDI";3165.2833;0;0;0;"16890313-1335";35;18;"Commercial";"Oui";67;"16890313-1335";6.8
"F";"0";3;"16951117-9468";0;62;"CDI";3116.88;37;0;0;"16951117-9468";24;43;"RH";"Non";48;"16951117-9468";8.2
"F";"Célibataire";1;"16920105-1209";0;64;"CDI";3097.0333;13;0;0;"16920105-1209";35;58;"Consultant";"Non";19;"16920105-1209";25
"F";"Marié";2;"16090608-0239";0;51;"CDI";3060.72;6;0;0;"16090608-0239";24;30;"RH";"Non";73;"16090608-0239";19.5
"F";"Marié";2;"16770802-4604";0;61;"CDD";3033.3333;8;0;0;"16770802-4604";35;17;"Consultant";"Non";24;"16770802-4604";0.4
"F";"Célibataire";2;"16170623-3887";0;55;"CDI";3012.1;19;1;0;"16170623-3887";35;19;"RH";"Non";15;"16170623-3887";16.2
"H";"Célibataire";3;"16870824-4853";0;30;"CDI";2998.45;21;1;0;"16870824-4853";35;13;"Marketing";"Non";22;"16870824-4853";8.2
"F";"Marié";1;"16660922-3489";0;55;"CDI";2928.6833;33;1;1;"16660922-3489";35;30;"Commercial";"Oui";97;"16660922-3489";5.3
"H";"Célibataire";0;"16211102-1297";0;48;"CDI";2918.0667;39;1;0;"16211102-1297";35;44;"Consultant";"Non";89;"16211102-1297";21.2
"F";"Célibataire";2;"16611004-8219";0;39;"CDI";2916.55;35;1;0;"16611004-8219";35;42;"Commercial";"Non";98;"16611004-8219";10.2
"F";"Célibataire";2;"16640301-8754";0;57;"CDI";2912;35;0;1;"16640301-8754";35;65;"Marketing";"Non";40;"16640301-8754";4.2
"F";"Célibataire";1;"16740208-0084";0;53;"CDD";2881.6667;27;0;0;"16740208-0084";35;15;"Commercial";"Non";76;"16740208-0084";1.9
"H";"0";0;"16960906-7989";0;34;"CDD";2848.3;15;1;0;"16960906-7989";35;15;"Informatique";"Oui";81;"16960906-7989";3.3
"H";"Marié";1;"16600521-9024";0;48;"CDI";2843.75;2;0;0;"16600521-9024";35;11;"Consultant";"Non";69;"16600521-9024";12.5
"H";"Célibataire";3;"16160206-9161";0;65;"CDI";2834.65;15;1;0;"16160206-9161";35;61;"Consultant";"Non";24;"16160206-9161";6.2
"H";"Célibataire";3;"16350127-5733";0;51;"CDI";2828.5833;21;0;0;"16350127-5733";35;9;"Commercial";"Non";86;"16350127-5733";24.2
"H";"Célibataire";3;"16080411-7877";0;55;"CDI";2813.72;8;1;0;"16080411-7877";28;17;"Consultant";"Non";9;"16080411-7877";13.3
"H";"0";1;"16560103-9174";0;58;"CDI";2777.0167;10;1;0;"16560103-9174";35;14;"Consultant";"Non";66;"16560103-9174";23.5
"H";"0";2;"16950514-2464";0;38;"CDI";2769.4333;33;0;0;"16950514-2464";35;69;"Compta Finances";"Oui";89;"16950514-2464";18.9
"H";"0";3;"16891013-6921";0;66;"CDI";2767.9167;6;1;0;"16891013-6921";35;44;"RH";"Non";88;"16891013-6921";9.2
"H";"Célibataire";0;"16381004-1917";0;57;"CDI";2735.2;27;0;0;"16381004-1917";24;49;"RH";"Non";47;"16381004-1917";21.2
"F";"Marié";2;"16720411-0782";0;49;"CDI";2731.5167;4;1;0;"16720411-0782";35;21;"Consultant";"Non";3;"16720411-0782";16.2
"H";"0";0;"16181212-5860";0;54;"CDI";2675.4;20;1;0;"16181212-5860";35;42;"Consultant";"Non";60;"16181212-5860";3.4
"H";"Marié";0;"16060812-9664";0;61;"CDI";2604.1167;32;1;0;"16060812-9664";35;61;"Compta Finances";"Non";70;"16060812-9664";20.5
"H";"Marié";0;"16190724-3065";0;36;"CDI";2561.65;13;0;0;"16190724-3065";35;41;"Consultant";"Non";68;"16190724-3065";17.4
"H";"Marié";2;"16301213-1524";0;38;"CDD";2558.6167;22;0;0;"16301213-1524";35;59;"Consultant";"Oui";59;"16301213-1524";1.8
"H";"Marié";2;"16700908-2889";0;38;"CDI";2511.6;21;0;0;"16700908-2889";35;21;"Commercial";"Oui";79;"16700908-2889";9.2
"F";"0";2;"16181217-7101";0;48;"CDI";2507.44;18;1;1;"16181217-7101";24;47;"RH";"Non";98;"16181217-7101";16.2
"F";"Célibataire";0;"16891203-4397";0;50;"CDD";2496;21;0;0;"16891203-4397";32;43;"Consultant";"Oui";6;"16891203-4397";1.3
"F";"Marié";1;"16730918-6273";0;50;"CDD";2426.6667;21;0;0;"16730918-6273";35;14;"Marketing";"Oui";70;"16730918-6273";0.6
"H";"Marié";2;"16721116-8286";0;49;"CDI";2396.3333;11;0;0;"16721116-8286";35;14;"Commercial";"Oui";62;"16721116-8286";21.6
"F";"0";1;"16710125-5136";0;36;"CDI";2369.0333;20;0;0;"16710125-5136";35;20;"Commercial";"Non";52;"16710125-5136";12.8
"H";"Célibataire";1;"16441109-5385";0;50;"CDD";2357.3333;12;0;0;"16441109-5385";32;12;"Consultant";"Non";100;"16441109-5385";1.2
"F";"Célibataire";3;"16240920-3425";0;53;"CDI";2309.8833;23;0;0;"16240920-3425";35;3;"Commercial";"Non";63;"16240920-3425";8.2
"F";"0";3;"16091122-3147";0;33;"CDD";2226.4667;2;0;0;"16091122-3147";35;14;"Consultant";"Non";81;"16091122-3147";1.1
"F";"Célibataire";3;"16920219-1855";0;47;"CDI";2132.4333;18;1;1;"16920219-1855";35;15;"Consultant";"Non";60;"16920219-1855";3.2
"F";"0";1;"16540728-0337";0;57;"CDD";2123.3333;39;0;0;"16540728-0337";35;6;"Compta Finances";"Non";84;"16540728-0337";1.8
"F";"Marié";0;"16460901-9957";0;49;"CDI";2079.35;7;1;1;"16460901-9957";35;34;"Compta Finances";"Oui";40;"16460901-9957";13.7
"F";"Célibataire";2;"16421009-6154";0;43;"CDI";2073.2833;28;0;0;"16421009-6154";35;5;"Consultant";"Non";59;"16421009-6154";21.1
"F";"0";1;"16330117-4748";0;59;"CDI";2070.25;34;0;0;"16330117-4748";35;53;"Commercial";"Non";58;"16330117-4748";3.8
"F";"0";2;"16820822-2953";1;26;"CDI";2070.25;24;1;0;"16820822-2953";35;45;"Consultant";"Non";95;"16820822-2953";9.3
"H";"0";2;"16460901-5575";0;61;"CDI";2055.04;12;0;0;"16460901-5575";24;44;"Consultant";"Non";37;"16460901-5575";13.2
"F";"Célibataire";0;"16891227-4985";0;30;"CDI";2052.05;13;;0;"16891227-4985";35;60;"Compta Finances";"Non";12;"16891227-4985";5.3
"F";"Célibataire";1;"16290714-4014";0;37;"CDI";2027.7833;19;0;0;"16290714-4014";35;58;"Consultant";"Non";92;"16290714-4014";6.6
"H";"Célibataire";0;"16221207-5101";0;46;"CDI";2024.75;4;1;0;"16221207-5101";35;4;"Consultant";"Non";42;"16221207-5101";14.2
"F";"0";1;"16360827-6352";1;28;"CDI";2008.0667;35;1;0;"16360827-6352";35;61;"Compta Finances";"Non";44;"16360827-6352";3.5
"H";"0";0;"16810711-6330";0;36;"CDD";1989.8667;5;0;0;"16810711-6330";35;67;"Marketing";"Non";19;"16810711-6330";1.4
"H";"Célibataire";2;"16350925-6446";0;41;"CDI";1979.25;6;1;0;"16350925-6446";35;46;"Compta Finances";"Non";31;"16350925-6446";5.5
"F";"Marié";3;"16081104-1011";1;32;"CDD";1920.1;17;1;0;"16081104-1011";35;31;"Compta Finances";"Non";18;"16081104-1011";1.1
"H";"0";1;"16910810-9712";0;48;"CDI";1873.0833;27;0;0;"16910810-9712";35;28;"Consultant";"Non";45;"16910810-9712";12.2
"F";"Célibataire";3;"16810230-7785";1;34;"CDI";1863.9833;12;1;0;"16810230-7785";35;55;"Marketing";"Non";67;"16810230-7785";2.5
"H";"Célibataire";0;"16851208-5567";0;45;"CDI";1851.5467;19;0;0;"16851208-5567";28;38;"Consultant";"Non";15;"16851208-5567";23.7
"H";"0";1;"16760706-4982";0;38;"CDI";1835.1667;6;0;0;"16760706-4982";35;3;"Compta Finances";"Non";15;"16760706-4982";19
"H";"Marié";3;"16780226-1060";0;55;"CDI";1833.65;8;0;1;"16780226-1060";35;25;"Compta Finances";"Non";17;"16780226-1060";8.2
"H";"Célibataire";3;"16640904-2246";0;33;"CDI";1803.3167;8;1;0;"16640904-2246";35;67;"Consultant";"Non";81;"16640904-2246";4.4
"F";"0";2;"16681012-6406";0;49;"CDI";1774.5;16;1;0;"16681012-6406";35;43;"Consultant";"Non";47;"16681012-6406";5.5
"H";"0";3;"16630411-0916";0;51;"CDI";1772.9833;20;1;1;"16630411-0916";35;23;"Compta Finances";"Non";44;"16630411-0916";16.4
"H";"Marié";0;"16890714-6248";0;51;"CDI";1709.76;10;1;1;"16890714-6248";24;11;"Consultant";"Non";87;"16890714-6248";10.3
"F";"0";3;"16300407-2348";0;48;"CDI";1703.2167;39;1;0;"16300407-2348";35;24;"Consultant";"Non";87;"16300407-2348";5.7
"H";"Marié";3;"16970415-1050";0;54;"CDI";1697.15;17;1;0;"16970415-1050";35;59;"Consultant";"Non";98;"16970415-1050";21.7
"H";"Marié";0;"16580220-7323";0;28;"CDI";1669.85;22;1;0;"16580220-7323";35;41;"Marketing";"Non";32;"16580220-7323";12.4
"H";"0";0;"16820525-6301";0;41;"CDI";1651.65;18;0;0;"16820525-6301";35;43;"Consultant";"Non";69;"16820525-6301";17.1
"F";"Marié";1;"16260907-1895";0;33;"CDI";1598.5667;18;0;1;"16260907-1895";35;44;"Marketing";"Non";40;"16260907-1895";14
"H";"Célibataire";2;"16021125-4271";0;46;"CDI";1590.9833;30;1;1;"16021125-4271";35;36;"Commercial";"Non";62;"16021125-4271";14.9
"H";"0";0;"16761104-5282";0;50;"CDI";1110.72;14;1;0;"16761104-5282";24;17;"Consultant";"Non";30;"16761104-5282";6.3
"F";"Marié";1;"16610809-8713";0;35;"CDI";1059.76;1;0;1;"16610809-8713";24;16;"Compta Finances";"Non";68;"16610809-8713";11.9
